TimeSeconds,ThrottlePercent,Brake,RPM,SpeedMPH,Gear,TorqueRatioBefore,TorqueRatioAfter,ImpellerTorque,TurbineTorque
0,100,0,1000,0,1,2.232,2.232,52.9193384795879,118.11596348644
0.01,100,0,1104.48889403316,0.0574796856898863,1,2.22315494152199,2.22315494152199,64.5772554486182,143.565244560523
0.02,100,0,1207.43738671318,0.126808552117413,1,2.21415027202683,2.21415027202683,77.2024673272837,170.937864033848
0.03,100,0,1306.92015534301,0.208939130569908,1,2.20482820029014,2.20482820029014,90.4795136674712,199.491783282577
0.04,100,0,1401.49737650773,0.304214701368952,1,2.19510771238295,2.19510771238295,104.086253252924,228.480537268539
0.05,100,0,1490.99657303805,0.412738924187929,1,2.18495142655893,2.18495142655893,117.848970390366,257.49427597293
0.06,100,0,1575.31960670478,0.534436437202697,1,2.17433994412162,2.17433994412162,131.607589112682,286.15963795725
0.07,100,0,1654.35708213101,0.669068473518559,1,2.16326325085915,2.16326325085915,145.204707829223,314.116008298699
0.08,100,0,1727.90056477408,0.816218890641855,1,2.1517147854187,2.1517147854187,158.469591196803,340.981362417419
0.09,100,0,1796.0719435795,0.975334164134925,1,2.13970516763325,2.13970516763325,171.296953449113,366.5249764949
0.1,100,0,1859.04752225567,1.1457695352317,1,2.12724989761073,2.12724989761073,183.60484469047,390.573387068636
0.11,100,0,1917.03775484589,1.32681255567668,1,2.11436770135024,2.11436770135024,195.331549363903,413.002719029738
0.12,100,0,1970.27866461485,1.51770466462616,1,2.10107960965433,2.10107960965433,206.433836674488,433.73392497948
0.13,100,0,2019.02888384457,1.71766059935022,1,2.08740858797392,2.08740858797392,216.885934684869,452.729562671947
0.14,100,0,2063.58718580403,1.92590023099981,1,2.07396799130718,2.07396799130718,226.710117547558,470.189527099124
0.15,100,0,2104.16135494643,2.14209485129267,1,2.06479338023519,2.06479338023519,236.092229231738,487.48167204266
0.16,100,0,2140.96818879264,2.36582191085773,1,2.05537557591481,2.05537557591481,244.828230069312,503.213964378915
0.17,100,0,2174.2657778319,2.59637831826764,1,2.04572832733278,2.04572832733278,252.93088872155,517.42788391513
0.18,100,0,2204.30718919075,2.83308326826743,1,2.03586536697229,2.03586536697229,260.419487715618,530.179015924892
0.19,100,0,2231.33780896558,3.07528383222082,1,2.02580031530547,2.02580031530547,267.318260226178,541.533415853101
