TimeSeconds,ThrottlePercent,Brake,RPM,SpeedMPH,Gear,TorqueRatioBefore,TorqueRatioAfter,ImpellerTorque,TurbineTorque
0,60,0,1000,0,1,2.232,2.232,52.9193384795879,118.11596348644
0.01,60,0,1101.37026247294,0.0573120121589636,1,2.22315577083205,2.22315577083205,64.2130880351901,142.75569722838
0.02,60,0,1200.04472766672,0.125997448519523,1,2.21415518727494,2.21415518727494,76.2599874293758,168.851446748274
0.03,60,0,1294.56328772058,0.206809716394834,1,2.20484840609775,2.20484840609775,88.7765766705441,195.738893570864
0.04,60,0,1383.66052585174,0.29992457413434,1,2.19515910461523,2.19515910461523,101.45350874608,222.706593419119
0.05,60,0,1467.28224596478,0.405291278209171,1,2.18505371051603,2.18505371051603,114.129569346495,249.379238980156
0.06,60,0,1545.44333924533,0.522698456130124,1,2.17451615530368,2.17451615530368,126.662165835892,275.428925875901
0.07,60,0,1618.22107189558,0.651796610197795,1,2.16354236011106,2.16354236011106,138.92915381387,300.579109330692
0.08,60,0,1685.79602326391,0.792125708251455,1,2.15213862918223,2.15213862918223,150.838309984757,324.624953678759
0.09,60,0,1748.3478894084,0.943142260473534,1,2.14031526611597,2.14031526611597,162.311034420208,347.396784828645
0.1,60,0,1806.06785055424,1.10423305912275,1,2.12808592875045,2.12808592875045,173.283729234255,368.762665864821
0.11,60,0,1859.17295480952,1.27473441568325,1,2.11546735734879,2.11546735734879,183.710043199668,388.632599606034
0.12,60,0,1907.89876489418,1.45395026160705,1,2.10247848960839,2.10247848960839,193.559122206659,406.953890906981
0.13,60,0,1952.49281366535,1.64116803580732,1,2.08913979042353,2.08913979042353,202.813684760734,423.706138876062
0.14,60,0,1993.20892328946,1.83567226098082,1,2.07547273399461,2.07547273399461,211.468043519691,438.896158436304
0.15,60,0,2030.10209172363,2.03707777450425,1,2.06637300727927,2.06637300727927,219.704570501325,453.991594059824
0.16,60,0,2063.12993810201,2.24502859981844,1,2.0572005340643,2.0572005340643,227.276825211952,467.554006206468
0.17,60,0,2092.6136072798,2.45881921872208,1,2.04780044887138,2.04780044887138,234.205268271427,479.60565349427
0.18,60,0,2118.86518046883,2.67777967947163,1,2.0381894647296,2.0381894647296,240.524037427748,490.233559099462
0.19,60,0,2142.17809620431,2.90128114206592,1,2.02838369659393,2.02838369659393,246.270136939784,499.530330726611
0.2,60,0,2162.82632244382,3.12873769262537,1,2.01839863885853,2.01839863885853,251.482064469956,507.59105662349
0.21,60,0,2181.06409197886,3.35960689480232,1,2.00824914829352,2.00824914829352,256.198719639895,514.510860510709
0.22,60,0,2197.12607702935,3.59338935959114,1,1.99794943231736,1.99794943231736,260.458559061483,520.383030219086
0.23,60,0,2211.22789604916,3.82962757564675,1,1.98751304237616,1.98751304237616,264.298962034479,525.297634130008
0.24,60,0,2223.5668625684,4.06790420381075,1,1.97695287210618,1.97695287210618,267.755772560672,529.34054358683
0.25,60,0,2234.38512141958,4.30759073012266,1,1.96377577344986,1.96377577344986,270.530169727466,531.260593298074
0.26,60,0,2243.95936198666,4.54787286541863,1,1.94997091781096,1.94997091781096,272.939594314992,532.224271233354
0.27,60,0,2252.42616522112,4.78845713329792,1,1.93611874631678,1.93611874631678,275.090192915497,532.607279431592
0.28,60,0,2259.90554151381,5.02909322869587,1,1.92223139769107,1.92223139769107,277.008017783188,532.47350919501
0.29,60,0,2266.50526227985,5.26955867035789,1,1.9083202166164,1.9083202166164,278.716880162594,531.881057126526
0.3,60,0,2272.32194871005,5.50965622873208,1,1.89439577421326,1.89439577421326,280.23845643759,530.882547647418
0.31,60,0,2277.44209954588,5.74921150940186,1,1.88046789285881,1.88046789285881,281.59241169089,529.525489057398
0.32,60,0,2281.94305225577,5.98807070319914,1,1.86654567430254,1.86654567430254,282.796533155197,527.852645668587
0.33,60,0,2285.89387501768,6.22609850720618,1,1.85263753019387,1.85263753019387,283.866867842753,525.902412944067
0.34,60,0,2289.41748837046,6.46306928370248,1,1.83893647212163,1.83893647212163,284.339030303478,522.881413272763
0.35,60,0,2292.8565744587,6.69838689560233,1,1.82551506305497,1.82551506305497,284.345170491437,519.076391839052
0.36,60,0,2296.26535367156,6.93197390301131,1,1.81223121992892,1.81223121992892,284.352454001412,515.312394604762
0.37,60,0,2299.64359582336,7.16384868087415,1,1.79908267337133,1.79908267337133,284.360676462183,511.588366011265
0.38,60,0,2302.99115886165,7.39402914304721,1,1.78606721693414,1.78606721693414,284.369660484892,507.903328082758
0.39,60,0,2306.30797672996,7.62253277561435,1,1.77318270459223,1.77318270459223,284.379252288384,504.256371702633
0.4,60,0,2309.59404875845,7.84937666647463,1,1.76042704832272,1.76042704832272,284.38931874177,500.646648967084
0.41,60,0,2312.8494303934,8.07457753166176,1,1.74779821577255,1.74779821577255,284.39974477265,497.073366479806
0.42,60,0,2316.07422509984,8.29815173879672,1,1.73529422801909,1.73529422801909,284.410431095821,493.535779468998
0.43,60,0,2319.26857729185,8.52011532802481,1,1.72291315742637,1.72291315742637,284.421292222926,490.03318662309
